Source,Target,Type,Kind,Id,Label,timeset,Weight
17,103,Directed,When,111,When,,1.0
18,201,Directed,Location,112,Location,,1.0
18,113,Directed,When,113,When,,1.0
18,302,Directed,Carried out by,114,Carried out by,,1.0
19,215,Directed,Location,115,Location,,1.0
19,112,Directed,When,116,When,,1.0
19,303,Directed,Carried out by,117,Carried out by,,1.0
20,208,Directed,Location,118,Location,,1.0
20,115,Directed,When,119,When,,1.0
20,301,Directed,Carried out by,120,Carried out by,,1.0
21,200,Directed,Location,121,Location,,1.0
21,103,Directed,When,122,When,,1.0
21,301,Directed,Carried out by,123,Carried out by,,1.0
22,214,Directed,Location,124,Location,,1.0
22,110,Directed,When,125,When,,1.0
22,302,Directed,Carried out by,126,Carried out by,,1.0
23,209,Directed,Location,127,Location,,1.0
23,202,Directed,Location,128,Location,,1.0
23,108,Directed,When,129,When,,1.0
23,301,Directed,Carried out by,130,Carried out by,,1.0
24,206,Directed,Location,131,Location,,1.0
24,105,Directed,When,132,When,,1.0
24,304,Directed,Carried out by,133,Carried out by,,1.0
25,200,Directed,Location,134,Location,,1.0
25,103,Directed,When,135,When,,1.0
25,301,Directed,Carried out by,136,Carried out by,,1.0
26,216,Directed,Location,137,Location,,1.0
26,110,Directed,When,138,When,,1.0
26,302,Directed,Carried out by,139,Carried out by,,1.0
27,204,Directed,Location,140,Location,,1.0
27,103,Directed,When,141,When,,1.0
27,301,Directed,Carried out by,142,Carried out by,,1.0
28,210,Directed,Location,143,Location,,1.0
28,103,Directed,When,144,When,,1.0
28,301,Directed,Carried out by,145,Carried out by,,1.0
29,218,Directed,Location,146,Location,,1.0
29,103,Directed,When,147,When,,1.0
29,301,Directed,Carried out by,148,Carried out by,,1.0
30,213,Directed,Location,149,Location,,1.0
30,103,Directed,When,150,When,,1.0
30,301,Directed,Carried out by,151,Carried out by,,1.0
31,217,Directed,Location,152,Location,,1.0
31,114,Directed,When,153,When,,1.0
31,301,Directed,Carried out by,154,Carried out by,,1.0
32,207,Directed,Location,155,Location,,1.0
32,110,Directed,When,156,When,,1.0
32,302,Directed,Carried out by,157,Carried out by,,1.0
33,211,Directed,Location,158,Location,,1.0
33,107,Directed,When,159,When,,1.0
33,302,Directed,Carried out by,160,Carried out by,,1.0
34,207,Directed,Location,161,Location,,1.0
34,102,Directed,When,162,When,,1.0
34,301,Directed,Carried out by,163,Carried out by,,1.0
35,203,Directed,Location,164,Location,,1.0
35,103,Directed,When,165,When,,1.0
35,301,Directed,Carried out by,166,Carried out by,,1.0
36,200,Directed,Location,167,Location,,1.0
36,101,Directed,When,168,When,,1.0
36,301,Directed,Carried out by,169,Carried out by,,1.0
37,212,Directed,Location,170,Location,,1.0
37,109,Directed,When,171,When,,1.0
37,302,Directed,Carried out by,172,Carried out by,,1.0
38,205,Directed,Location,173,Location,,1.0
38,111,Directed,When,174,When,,1.0
38,302,Directed,Carried out by,175,Carried out by,,1.0
